mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lbp_patches__n_points,param_lbp_patches__patch_size,param_lbp_patches__radius,param_lbp_patches__step,param_ocsvm__gamma,param_ocsvm__nu,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
144.66578900814056,3.0650309324264526,70.42183911800385,1.8697882890701294,8,"(32, 32)",3,8,0.2,0.15,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.15}",-5907.789098694063,-5411.317395922417,-5659.55324730824,248.23585138582303,20
164.1263576745987,1.2003082036972046,92.3301272392273,4.719878435134888,8,"(32, 32)",3,8,0.2,0.2,"{'lbp_patches__n_points': 8, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.2}",-17201.24372714666,-16108.185816565303,-16654.71477185598,546.5289552906779,30
112.3509407043457,0.5253448486328125,54.805118441581726,1.140670895576477,11,"(32, 32)",1,8,0.1,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.1}",-12937.772900166381,-12542.840330456751,-12740.306615311565,197.46628485481506,27
191.10552084445953,17.22268497943878,59.84482252597809,0.9403823614120483,11,"(32, 32)",1,8,0.1,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.15}",-41099.24571089407,-39999.87766650946,-40549.56168870177,549.6840221923048,42
259.98458671569824,18.225688457489014,95.17925357818604,2.184354782104492,11,"(32, 32)",1,8,0.1,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.2}",-94624.16144488764,-92624.18913894174,-93624.1752919147,999.986152972946,50
157.29356563091278,34.579787850379944,53.46453595161438,9.377449035644531,11,"(32, 32)",1,8,0.15,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.1}",-1913.5514840397238,-1858.8575015192182,-1886.204492779471,27.34699126025282,12
184.12260484695435,1.5676333904266357,71.27950537204742,6.248104214668274,11,"(32, 32)",1,8,0.15,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.15}",-6758.644544766335,-6583.944143758474,-6671.294344262404,87.35020050393041,23
219.5563930273056,1.269084095954895,104.0211410522461,11.97760534286499,11,"(32, 32)",1,8,0.15,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.2}",-16898.088169676743,-16585.89127428188,-16741.989721979313,156.09844769743177,31
155.59508204460144,22.44931149482727,62.204548716545105,7.0794302225112915,11,"(32, 32)",1,8,0.2,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.1}",-316.4933659502526,-305.3957716202122,-310.9445687852324,5.548797165020204,3
167.68977558612823,1.6001619100570679,73.53947460651398,1.0978249311447144,11,"(32, 32)",1,8,0.2,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.15}",-1222.9009147329684,-1191.7175788806014,-1207.3092468067848,15.591667926183504,7
